Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
8,0180,3,33386,8.59911,1e-15,6894.76,4.562570515e-07,6.63068e-14
8,0180,4,33060,8.02473,1e-15,6894.76,6.168429952e-07,8.96444e-14
8,0181,1,31970,8.3015,1e-15,6894.76,9.297267937e-09,1.35115e-15
8,0181,2,32652,7.81354,1e-15,6894.76,1.103116432e-08,1.60313e-15
8,0181,3,33488,8.41584,1e-15,6894.76,4.361839668e-07,6.33896e-14
8,0181,4,33032,8.23927,1e-15,6894.76,6.257923777e-07,9.0945e-14
8,0182,1,31962,8.41404,1e-15,6894.76,nan,nan
8,0182,2,32528,7.96906,1e-15,6894.76,1.048265147e-08,1.52342e-15
8,0182,3,32528,0,0,0,0,0
8,0182,4,32738,7.95651,1e-15,6894.76,6.124520189e-07,8.90063e-14
8,0183,1,31962,8.27961,1e-15,6894.76,9.201931711e-09,1.3373e-15
8,0183,2,32820,8.22594,1e-15,6894.76,1.075837592e-08,1.56349e-15
8,0183,3,33354,8.01937,1e-15,6894.76,2.181348538e-07,3.1701e-14
8,0183,4,33258,8.39504,1e-15,6894.76,5.636448641e-07,8.19132e-14
8,0184,1,31892,8.63203,1e-15,6894.76,9.196809627e-09,1.33655e-15
8,0184,2,32592,8.10029,1e-15,6894.76,1.075640104e-08,1.5632e-15
8,0184,3,33392,8.41209,1e-15,6894.76,2.166173981e-07,3.14805e-14
8,0184,4,33124,8.08773,1e-15,6894.76,5.80950722e-07,8.44283e-14
8,0185,1,31908,8.26238,1e-15,6894.76,9.196778364e-09,1.33655e-15
8,0185,2,32740,8.68357,1e-15,6894.76,1.088811127e-08,1.58234e-15
8,0185,3,33346,8.03631,1e-15,6894.76,2.206492246e-07,3.20665e-14
8,0185,4,33172,8.31949,1e-15,6894.76,6.560162208e-07,9.53374e-14
8,0186,1,32028,8.23674,1e-15,6894.76,9.054925842e-09,1.31593e-15
8,0186,2,32770,7.98292,1e-15,6894.76,1.060021595e-08,1.54051e-15
8,0186,3,33174,8.46965,1e-15,6894.76,2.240509282e-07,3.25608e-14
8,0186,4,32964,8.41668,1e-15,6894.76,6.701156547e-07,9.73864e-14
8,0187,1,32078,8.53922,1e-15,6894.76,9.160447255e-09,1.33127e-15
8,0187,2,32580,8.08694,1e-15,6894.76,1.066829986e-08,1.5504e-15
8,0187,3,33036,8.36824,1e-15,6894.76,2.354018626e-07,3.42104e-14
8,0187,4,33210,8.20972,1e-15,6894.76,6.171426267e-07,8.9688e-14
8,0188,1,32128,8.17022,1e-15,6894.76,9.289877663e-09,1.35008e-15
8,0188,2,32678,8.23776,1e-15,6894.76,1.070451511e-08,1.55566e-15
8,0188,3,33140,8.02825,1e-15,6894.76,2.584262292e-07,3.75565e-14
8,0188,4,33320,8.28297,1e-15,6894.76,6.014125356e-07,8.74019e-14
8,0189,1,32038,7.33816,1e-15,6894.76,9.445234725e-09,1.37265e-15
8,0189,2,32716,7.86807,1e-15,6894.76,1.04250022e-08,1.51504e-15
8,0189,3,33322,8.1962,1e-15,6894.76,2.712599156e-07,3.94216e-14
8,0189,4,33294,8.02283,1e-15,6894.76,3.665436217e-07,5.3269e-14
8,0190,1,32216,7.8789,1e-15,6894.76,9.318838026e-09,1.35429e-15
8,0190,2,32764,7.89642,1e-15,6894.76,1.032776675e-08,1.50091e-15
8,0190,3,33338,8.24267,1e-15,6894.76,2.669314187e-07,3.87925e-14
8,0190,4,33088,7.94251,1e-15,6894.76,6.34626777e-07,9.22289e-14
8,0191,1,32156,8.58202,1e-15,6894.76,9.16916588e-09,1.33253e-15
8,0191,2,32878,8.40217,1e-15,6894.76,1.017905231e-08,1.4793e-15
8,0191,3,33124,7.83747,1e-15,6894.76,2.70144854e-07,3.92595e-14
8,0191,4,33078,8.76568,1e-15,6894.76,4.631466179e-07,6.73081e-14
8,0192,1,32148,7.87889,1e-15,6894.76,8.733762014e-09,1.26926e-15
8,0192,2,32700,7.89021,1e-15,6894.76,1.002419145e-08,1.45679e-15
8,0192,3,33212,8.00748,1e-15,6894.76,2.809649622e-07,4.0832e-14
8,0192,4,33094,8.44436,1e-15,6894.76,4.079405569e-07,5.92851e-14
8,0193,1,32016,7.5859,1e-15,6894.76,8.529797463e-09,1.23962e-15
8,0193,2,32850,8.35517,1e-15,6894.76,1.006739873e-08,1.46307e-15
8,0193,3,33210,8.14262,1e-15,6894.76,2.841339894e-07,4.12926e-14
8,0193,4,33020,8.075,1e-15,6894.76,4.010521728e-07,5.8284e-14
8,0194,1,31928,7.98869,1e-15,6894.76,8.419619118e-09,1.2236e-15
8,0194,2,32736,8.0137,1e-15,6894.76,1.010206683e-08,1.46811e-15
8,0194,3,33352,8.63548,1e-15,6894.76,3.176291544e-07,4.61603e-14
8,0194,4,33098,8.16245,1e-15,6894.76,6.064418113e-07,8.81328e-14
8,0195,1,31710,8.39622,1e-15,6894.76,8.272791259e-09,1.20227e-15
8,0195,2,32692,8.31438,1e-15,6894.76,1.101593178e-08,1.60092e-15
8,0195,3,33430,8.44784,1e-15,6894.76,2.892759274e-07,4.20398e-14
8,0195,4,33298,7.80731,1e-15,6894.76,5.999098506e-07,8.71836e-14
8,0196,1,31966,7.3541,1e-15,6894.76,8.373498083e-09,1.2169e-15
8,0196,2,31966,0,0,0,0,0
8,0196,3,33506,8.12533,1e-15,6894.76,3.829458352e-07,5.56527e-14
8,0196,4,33124,7.99497,1e-15,6894.76,4.749778209e-07,6.90275e-14
8,0197,1,31952,7.49552,1e-15,6894.76,8.343871054e-09,1.2126e-15
8,0197,2,32900,7.92041,1e-15,6894.76,1.057098786e-08,1.53626e-15
8,0197,3,33374,8.04562,1e-15,6894.76,3.899533817e-07,5.6671e-14
8,0197,4,33164,8.04113,1e-15,6894.76,5.060367291e-07,7.35412e-14
8,0198,1,31964,7.94823,1e-15,6894.76,8.320581358e-09,1.20921e-15
8,0198,2,32958,8.04467,1e-15,6894.76,1.071583235e-08,1.55731e-15
8,0198,3,33508,8.92104,1e-15,6894.76,3.940679948e-07,5.7269e-14
8,0198,4,33188,8.5706,1e-15,6894.76,4.875985457e-07,7.08616e-14
8,0199,1,31998,7.82226,1e-15,6894.76,8.382913497e-09,1.21827e-15
8,0199,2,33136,8.04602,1e-15,6894.76,1.147224246e-08,1.66724e-15
8,0199,3,33458,7.80386,1e-15,6894.76,nan,nan
8,0199,4,33026,8.30878,1e-15,6894.76,4.859895912e-07,7.06278e-14
8,0200,1,31974,7.45077,1e-15,6894.76,8.426124584e-09,1.22455e-15
8,0200,2,32776,8.40592,1e-15,6894.76,1.144408806e-08,1.66314e-15
8,0200,3,33292,8.37498,1e-15,6894.76,3.804261791e-07,5.52865e-14
8,0200,4,33238,8.11608,1e-15,6894.76,5.077278016e-07,7.37869e-14
8,0201,1,32024,8.36382,1e-15,6894.76,8.495834579e-09,1.23468e-15
8,0201,2,32990,8.21629,1e-15,6894.76,1.117989798e-08,1.62475e-15
8,0201,3,33234,8.51277,1e-15,6894.76,2.908810539e-07,4.22731e-14
8,0201,4,33178,8.28275,1e-15,6894.76,4.728375147e-07,6.87164e-14
8,0202,1,32058,8.24017,1e-15,6894.76,8.475013967e-09,1.23165e-15
8,0202,2,32788,7.87801,1e-15,6894.76,1.109985529e-08,1.61312e-15
8,0202,3,33268,8.06365,1e-15,6894.76,2.742078002e-07,3.985e-14
8,0202,4,32972,8.01708,1e-15,6894.76,4.593607678e-07,6.67579e-14
8,0203,1,32010,7.95565,1e-15,6894.76,8.644682432e-09,1.25631e-15
8,0203,2,32942,7.62349,1e-15,6894.76,1.085068425e-08,1.57691e-15
8,0203,3,33408,9.22343,1e-15,6894.76,2.392397191e-07,3.47682e-14
8,0203,4,33006,8.42019,1e-15,6894.76,4.870415995e-07,7.07807e-14
8,0204,1,32028,7.14705,1e-15,6894.76,8.619281552e-09,1.25262e-15
8,0204,2,32756,8.23178,1e-15,6894.76,1.0951528e-08,1.59156e-15
8,0204,3,33440,8.73192,1e-15,6894.76,2.337698754e-07,3.39733e-14
8,0204,4,33008,8.18501,1e-15,6894.76,5.10324807e-07,7.41644e-14
8,0205,1,32194,8.36671,1e-15,6894.76,8.454301463e-09,1.22864e-15
8,0205,2,32898,8.54622,1e-15,6894.76,1.104836298e-08,1.60563e-15
8,0205,3,33490,8.1534,1e-15,6894.76,2.612219316e-07,3.79628e-14
8,0205,4,33112,7.96303,1e-15,6894.76,3.669536261e-07,5.33285e-14
8,0206,1,31930,7.88896,1e-15,6894.76,8.336736023e-09,1.21156e-15
8,0206,2,32760,7.91099,1e-15,6894.76,1.042601754e-08,1.51519e-15
8,0206,3,33468,8.30072,1e-15,6894.76,2.789149811e-07,4.05341e-14
8,0206,4,33054,8.03298,1e-15,6894.76,3.622311552e-07,5.26422e-14
8,0207,1,31730,8.05554,1e-15,6894.76,8.406895312e-09,1.22176e-15
8,0207,2,32628,7.93332,1e-15,6894.76,1.027425398e-08,1.49313e-15
8,0207,3,33548,8.74667,1e-15,6894.76,2.588959825e-07,3.76248e-14
8,0207,4,32916,9.39957,1e-15,6894.76,3.419579992e-07,4.9696e-14
8,0208,1,31832,7.41128,1e-15,6894.76,8.37620139e-09,1.21729e-15
8,0208,2,32894,7.67617,1e-15,6894.76,1.025881799e-08,1.49089e-15
8,0208,3,33610,8.53079,1e-15,6894.76,2.739495325e-07,3.98125e-14
8,0208,4,33302,8.10344,1e-15,6894.76,3.242528679e-07,4.71229e-14
8,0209,1,31750,7.67258,1e-15,6894.76,8.476836511e-09,1.23192e-15
8,0209,2,32854,8.43959,1e-15,6894.76,1.027005718e-08,1.49252e-15
8,0209,3,33576,8.39486,1e-15,6894.76,2.635568765e-07,3.83021e-14
8,0209,4,33032,8.27641,1e-15,6894.76,5.258276239e-07,7.64173e-14
8,0210,1,31848,8.14351,1e-15,6894.76,8.576785546e-09,1.24644e-15
8,0210,2,31848,0,0,0,0,0
8,0210,3,31848,0,0,0,0,0
8,0210,4,33170,8.8098,1e-15,6894.76,5.211410385e-07,7.57363e-14
8,0211,1,31946,7.73022,1e-15,6894.76,8.487295605e-09,1.23344e-15
8,0211,2,31946,0,0,0,0,0
8,0211,3,33328,8.75117,1e-15,6894.76,2.068634504e-07,3.0063e-14
8,0211,4,33360,8.53836,1e-15,6894.76,5.220276494e-07,7.58651e-14
8,0212,1,31886,7.6537,1e-15,6894.76,8.535714394e-09,1.24048e-15
8,0212,2,32712,8.08206,1e-15,6894.76,1.030107222e-08,1.49703e-15
8,0212,3,33598,8.4498,1e-15,6894.76,2.099468501e-07,3.05111e-14
8,0212,4,33412,7.72764,1e-15,6894.76,3.269552906e-07,4.75157e-14
8,0213,1,31908,7.9117,1e-15,6894.76,8.464217047e-09,1.23009e-15
8,0213,2,32918,7.80454,1e-15,6894.76,1.037148053e-08,1.50726e-15
8,0213,3,33430,7.88013,1e-15,6894.76,2.264212514e-07,3.29053e-14
8,0213,4,33430,0,0,0,0,0
8,0214,1,31896,8.20076,1e-15,6894.76,8.436297465e-09,1.22603e-15
8,0214,2,32720,8.24301,1e-15,6894.76,1.0159908e-08,1.47652e-15
8,0214,3,33532,7.83968,1e-15,6894.76,2.249334578e-07,3.26891e-14
8,0214,4,33532,0,0,0,0,0
8,0215,1,31930,7.66804,1e-15,6894.76,8.424757566e-09,1.22435e-15
8,0215,2,32740,7.96555,1e-15,6894.76,1.011972583e-08,1.47068e-15
8,0215,3,33234,8.02671,1e-15,6894.76,2.379358662e-07,3.45787e-14
8,0215,4,33380,7.77281,1e-15,6894.76,5.255731963e-07,7.63804e-14
8,0216,1,31790,8.0865,1e-15,6894.76,8.384148232e-09,1.21845e-15
8,0216,2,32670,7.65365,1e-15,6894.76,1.021905133e-08,1.48511e-15
8,0216,3,33516,8.97245,1e-15,6894.76,2.087281151e-07,3.0334e-14
8,0216,4,33452,8.11401,1e-15,6894.76,5.274348135e-07,7.66509e-14
8,0217,1,31886,7.73295,1e-15,6894.76,8.350673024e-09,1.21358e-15
8,0217,2,32766,8.20461,1e-15,6894.76,1.014236571e-08,1.47397e-15
8,0217,3,33494,8.12283,1e-15,6894.76,2.067608875e-07,3.00481e-14
8,0217,4,33286,8.45054,1e-15,6894.76,5.351042795e-07,7.77655e-14
8,0218,1,31984,7.90868,1e-15,6894.76,8.323253675e-09,1.2096e-15
8,0218,2,32606,8.58754,1e-15,6894.76,1.019858378e-08,1.48214e-15
8,0218,3,33474,8.42914,1e-15,6894.76,2.037718368e-07,2.96137e-14
8,0218,4,33232,8.05377,1e-15,6894.76,5.187842315e-07,7.53937e-14
8,0219,1,31870,8.08022,1e-15,6894.76,8.464590343e-09,1.23014e-15
8,0219,2,32576,8.31113,1e-15,6894.76,9.877114983e-09,1.43542e-15
8,0219,3,33374,9.56174,1e-15,6894.76,2.316459946e-07,3.36646e-14
8,0219,4,33338,7.85939,1e-15,6894.76,4.991836913e-07,7.25452e-14
8,0220,1,31902,7.86665,1e-15,6894.76,nan,nan
8,0220,2,32706,8.26927,1e-15,6894.76,9.887581156e-09,1.43694e-15
8,0220,3,33386,8.24816,1e-15,6894.76,2.358212707e-07,3.42714e-14
8,0220,4,33350,8.48337,1e-15,6894.76,5.047772863e-07,7.33582e-14
8,0221,1,32084,7.69901,1e-15,6894.76,8.613730779e-09,1.25181e-15
8,0221,2,32834,8.75465,1e-15,6894.76,9.910782998e-09,1.44031e-15
8,0221,3,33296,8.98797,1e-15,6894.76,2.909820551e-07,4.22878e-14
8,0221,4,33528,8.16435,1e-15,6894.76,nan,nan
8,0222,1,32084,8.16327,1e-15,6894.76,8.653756595e-09,1.25763e-15
8,0222,2,32830,7.92842,1e-15,6894.76,1.001887556e-08,1.45602e-15
8,0222,3,33392,8.74936,1e-15,6894.76,4.507652202e-07,6.55087e-14
8,0222,4,33336,8.06227,1e-15,6894.76,5.04472779e-07,7.33139e-14
8,0223,1,32086,7.53772,1e-15,6894.76,8.702887266e-09,1.26477e-15
8,0223,2,32694,8.20908,1e-15,6894.76,1.004411792e-08,1.45969e-15
8,0223,3,33322,7.91362,1e-15,6894.76,3.072202726e-07,4.46476e-14
8,0223,4,33552,8.02008,1e-15,6894.76,5.413649437e-07,7.86754e-14
8,0224,1,32196,8.32882,1e-15,6894.76,8.713799754e-09,1.26636e-15
8,0224,2,32598,7.91732,1e-15,6894.76,1.030272254e-08,1.49727e-15
8,0224,3,33592,8.58337,1e-15,6894.76,2.981224433e-07,4.33255e-14
8,0224,4,33264,8.02247,1e-15,6894.76,5.492758646e-07,7.9825e-14
8,0225,1,31996,7.99074,1e-15,6894.76,8.591265658e-09,1.24855e-15
8,0225,2,32544,7.83221,1e-15,6894.76,1.024554647e-08,1.48896e-15
8,0225,3,33524,7.80492,1e-15,6894.76,2.10826198e-07,3.06389e-14
8,0225,4,33210,8.8194,1e-15,6894.76,5.420158519e-07,7.87699e-14
8,0226,1,32218,8.32204,1e-15,6894.76,8.571484137e-09,1.24567e-15
8,0226,2,32442,7.84011,1e-15,6894.76,9.675132792e-09,1.40607e-15
8,0226,3,33360,8.44978,1e-15,6894.76,3.560364792e-07,5.1742e-14
8,0226,4,33060,8.20484,1e-15,6894.76,5.40393106e-07,7.85341e-14
8,0227,1,32046,7.88348,1e-15,6894.76,8.445640192e-09,1.22739e-15
8,0227,2,32576,8.02142,1e-15,6894.76,9.770502007e-09,1.41993e-15
8,0227,3,33482,8.44612,1e-15,6894.76,3.577685843e-07,5.19937e-14
8,0227,4,33142,8.26646,1e-15,6894.76,5.615992148e-07,8.1616e-14
8,0228,1,31790,8.52303,1e-15,6894.76,8.422113859e-09,1.22397e-15
