Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
480,180,8679,48.21667,2.11890,23.02427,8.48059,5.34894,60.09107,9.21241,295.70556,308.68333,82.38081,5.79941
481,168,7975,47.47024,1.94702,22.80899,8.55488,5.27000,64.44733,9.24257,295.77381,309.14881,87.82753,5.72558
482,176,7784,44.22727,1.90039,22.08906,8.28953,5.11208,58.24096,8.95885,303.80682,308.11932,85.43025,5.54868
483,177,7632,43.11864,1.86328,21.92843,8.15857,5.04727,58.26315,8.84993,307.90960,318.20339,83.90570,5.51205
484,180,7539,41.88333,1.84058,21.58248,8.12371,4.98000,64.37708,8.78974,315.82222,337.06111,87.57102,5.41583
485,165,7638,46.29091,1.86475,22.82725,8.52720,5.20175,67.01724,9.24641,313.31515,321.95152,88.76898,5.71275
486,177,8025,45.33898,1.95923,22.30372,8.27854,5.11330,65.62131,8.95930,314.44068,326.08475,93.73131,5.59359
487,173,8260,47.74566,2.01660,22.69433,8.46479,5.21594,74.24324,9.15007,317.17341,322.35838,94.33585,5.69744
488,164,8670,52.86585,2.11670,24.54189,8.98776,5.50942,69.30814,9.77468,327.01829,327.97561,95.23878,6.08707
489,164,8616,52.53659,2.10352,24.22529,8.99285,5.50114,64.83515,9.72889,313.54878,320.36585,90.45561,6.07184
490,178,8845,49.69101,2.15942,23.27775,8.67944,5.32769,63.06900,9.37360,306.33146,316.12921,95.53602,5.82219
491,172,8669,50.40116,2.11646,24.13005,9.07784,5.30194,66.11836,9.76995,300.65698,316.31395,93.62626,5.84955
492,180,8454,46.96667,2.06396,22.85593,8.57853,5.23500,64.62624,9.25800,309.37222,321.26111,85.66392,5.70408
493,177,8960,50.62147,2.18750,24.07252,8.92676,5.39360,62.20874,9.64287,305.10169,316.72316,86.11935,5.94393
494,188,9611,51.12234,2.34644,24.21823,8.97103,5.43560,60.03231,9.66725,304.87234,330.57979,86.34369,5.96302
495,181,9886,54.61878,2.41357,25.48268,9.43058,5.67038,65.38274,10.17245,305.78453,321.75691,89.02411,6.22430
496,198,9773,49.35859,2.38599,23.31375,8.62728,5.40119,64.73352,9.30930,300.60101,324.32323,91.80511,5.89028
497,199,9533,47.90452,2.32739,22.80241,8.35559,5.31207,62.96430,9.08142,303.77387,324.43719,89.18565,5.76956
498,193,9367,48.53368,2.28687,23.16993,8.49854,5.41892,60.70625,9.23179,314.98964,321.89637,87.04192,5.88128
499,198,9239,46.66162,2.25562,22.86216,8.38226,5.23434,68.12886,9.10565,302.02020,331.85354,90.88049,5.71513
