Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
5,0183,1,31752,7.33896,1e-15,6894.76,7.109685992e-09,1.03323e-15
5,0183,2,32876,7.77633,1e-15,6894.76,7.413203557e-09,1.07734e-15
5,0183,3,34770,8.76772,1e-15,6894.76,9.334264985e-09,1.35653e-15
5,0183,4,34396,8.2331,1e-15,6894.76,1.185802578e-08,1.7233e-15
5,0184,1,31724,7.33994,1e-15,6894.76,7.108989654e-09,1.03313e-15
5,0184,2,32936,8.42905,1e-15,6894.76,7.400328074e-09,1.07547e-15
5,0184,3,34622,9.23525,1e-15,6894.76,9.57963432e-09,1.39219e-15
5,0185,1,31676,7.70017,1e-15,6894.76,7.089342103e-09,1.03028e-15
5,0185,2,32724,7.67614,1e-15,6894.76,7.409836787e-09,1.07685e-15
5,0185,3,34628,8.33577,1e-15,6894.76,9.775190478e-09,1.42061e-15
5,0185,4,34328,8.77715,1e-15,6894.76,1.220158949e-08,1.77323e-15
5,0186,1,31766,7.52752,1e-15,6894.76,7.089275787e-09,1.03027e-15
5,0186,2,32926,7.98717,1e-15,6894.76,7.404841152e-09,1.07613e-15
5,0186,3,34606,8.65407,1e-15,6894.76,9.630167597e-09,1.39953e-15
5,0186,4,34320,8.50287,1e-15,6894.76,1.260417715e-08,1.83174e-15
5,0187,1,31734,7.25735,1e-15,6894.76,7.081092964e-09,1.02908e-15
5,0187,2,32692,7.92771,1e-15,6894.76,7.382115449e-09,1.07283e-15
5,0187,3,34666,9.00369,1e-15,6894.76,9.804990738e-09,1.42494e-15
5,0187,4,34470,8.91584,1e-15,6894.76,1.332787072e-08,1.93691e-15
5,0188,1,31712,7.6686,1e-15,6894.76,7.088894173e-09,1.03021e-15
5,0188,2,32934,8.10583,1e-15,6894.76,7.419096411e-09,1.0782e-15
5,0188,3,34660,9.22122,1e-15,6894.76,9.870818502e-09,1.4345e-15
5,0188,4,34408,9.21808,1e-15,6894.76,1.231045031e-08,1.78905e-15
5,0189,1,31780,7.37766,1e-15,6894.76,7.104601001e-09,1.0325e-15
5,0189,2,32828,7.86296,1e-15,6894.76,7.423651005e-09,1.07886e-15
5,0189,3,34562,8.29233,1e-15,6894.76,9.834503211e-09,1.42923e-15
5,0189,4,34466,8.53902,1e-15,6894.76,1.196142732e-08,1.73833e-15
5,0190,1,31772,7.387,1e-15,6894.76,7.108796533e-09,1.03311e-15
5,0190,2,32700,7.81954,1e-15,6894.76,7.39716637e-09,1.07501e-15
5,0190,3,34896,9.20675,1e-15,6894.76,9.79544234e-09,1.42355e-15
5,0190,4,34292,8.52103,1e-15,6894.76,1.297698245e-08,1.88592e-15
5,0191,1,31628,7.79097,1e-15,6894.76,7.104451195e-09,1.03247e-15
5,0191,2,32766,7.92898,1e-15,6894.76,7.397344738e-09,1.07504e-15
5,0191,4,34476,9.30821,1e-15,6894.76,1.251690095e-08,1.81905e-15
5,0192,1,31642,7.1304,1e-15,6894.76,7.087491663e-09,1.03001e-15
5,0192,2,32726,7.5243,1e-15,6894.76,7.408526336e-09,1.07666e-15
5,0192,3,34618,8.39857,1e-15,6894.76,9.521093579e-09,1.38368e-15
5,0193,1,31518,7.50867,1e-15,6894.76,7.096514905e-09,1.03132e-15
5,0193,2,32510,7.56245,1e-15,6894.76,7.404237252e-09,1.07604e-15
5,0193,3,34484,9.00939,1e-15,6894.76,nan,nan
5,0193,4,34324,8.86193,1e-15,6894.76,nan,nan
5,0194,1,31682,7.47275,1e-15,6894.76,7.098407795e-09,1.0316e-15
5,0194,2,32730,7.6968,1e-15,6894.76,7.400453218e-09,1.07549e-15
5,0194,4,34272,8.32845,1e-15,6894.76,1.131429842e-08,1.64428e-15
5,0195,1,31612,7.5843,1e-15,6894.76,7.08455661e-09,1.02958e-15
5,0195,2,32596,8.02391,1e-15,6894.76,7.392079039e-09,1.07427e-15
5,0195,3,34770,9.08536,1e-15,6894.76,9.29701277e-09,1.35111e-15
5,0195,4,34204,8.08328,1e-15,6894.76,1.106440705e-08,1.60797e-15
5,0196,1,31528,7.41568,1e-15,6894.76,7.093230683e-09,1.03084e-15
5,0196,2,32596,7.57326,1e-15,6894.76,7.370647101e-09,1.07116e-15
5,0196,3,34648,8.4621,1e-15,6894.76,9.334742665e-09,1.3566e-15
5,0196,4,34390,8.65233,1e-15,6894.76,1.088127614e-08,1.58135e-15
5,0197,1,31512,7.26725,1e-15,6894.76,7.08269903e-09,1.02931e-15
5,0197,2,32582,7.41087,1e-15,6894.76,7.356606265e-09,1.06912e-15
5,0197,3,34736,8.95414,1e-15,6894.76,9.530068081e-09,1.38498e-15
5,0197,4,34262,10.2896,1e-15,6894.76,1.157169616e-08,1.68169e-15
5,0198,1,31528,7.39454,1e-15,6894.76,7.070185725e-09,1.02749e-15
5,0198,2,32700,8.28103,1e-15,6894.76,7.321672498e-09,1.06404e-15
5,0198,3,34954,8.48778,1e-15,6894.76,9.607531888e-09,1.39624e-15
5,0198,4,34258,8.17753,1e-15,6894.76,1.192224609e-08,1.73263e-15
5,0199,1,31448,7.46345,1e-15,6894.76,7.066516483e-09,1.02696e-15
5,0199,2,32666,7.62091,1e-15,6894.76,7.324725393e-09,1.06449e-15
5,0199,3,34790,9.39953,1e-15,6894.76,9.266253177e-09,1.34664e-15
5,0199,4,34200,9.11059,1e-15,6894.76,1.158902794e-08,1.68421e-15
5,0200,1,31370,7.6488,1e-15,6894.76,7.070364506e-09,1.02752e-15
5,0200,2,32688,8.61962,1e-15,6894.76,7.317043467e-09,1.06337e-15
5,0200,3,34926,8.87556,1e-15,6894.76,9.369705957e-09,1.36168e-15
5,0200,4,34456,8.18198,1e-15,6894.76,1.165804675e-08,1.69424e-15
5,0201,1,31488,7.97071,1e-15,6894.76,7.076131954e-09,1.02836e-15
5,0201,2,32520,8.14111,1e-15,6894.76,7.315409688e-09,1.06313e-15
5,0201,3,34808,9.04124,1e-15,6894.76,9.700875704e-09,1.40981e-15
5,0201,4,34406,7.88147,1e-15,6894.76,1.099222983e-08,1.59748e-15
5,0202,1,31484,8.13459,1e-15,6894.76,7.066981148e-09,1.02703e-15
5,0202,2,32622,7.79705,1e-15,6894.76,7.322237376e-09,1.06412e-15
5,0202,3,34634,8.49435,1e-15,6894.76,9.374594023e-09,1.36239e-15
5,0202,4,34330,8.99044,1e-15,6894.76,1.105795439e-08,1.60703e-15
5,0203,1,31438,7.30959,1e-15,6894.76,7.072175801e-09,1.02778e-15
5,0203,2,32590,8.13356,1e-15,6894.76,7.3475931e-09,1.06781e-15
5,0203,3,34534,8.5393,1e-15,6894.76,9.642325723e-09,1.4013e-15
5,0203,4,34284,8.33457,1e-15,6894.76,1.115766915e-08,1.62152e-15
5,0204,1,31382,7.28829,1e-15,6894.76,7.060538712e-09,1.02609e-15
5,0204,2,32596,8.07825,1e-15,6894.76,7.326795903e-09,1.06479e-15
5,0204,3,34864,8.89931,1e-15,6894.76,9.73040643e-09,1.4141e-15
5,0204,4,34382,8.24075,1e-15,6894.76,1.140819883e-08,1.65793e-15
5,0205,1,31380,7.58712,1e-15,6894.76,7.04973719e-09,1.02452e-15
5,0205,2,32616,7.90262,1e-15,6894.76,7.321850415e-09,1.06407e-15
5,0205,3,34648,8.72742,1e-15,6894.76,9.681654913e-09,1.40701e-15
5,0205,4,34180,8.15134,1e-15,6894.76,1.124921592e-08,1.63482e-15
5,0206,1,31578,7.73686,1e-15,6894.76,7.039526347e-09,1.02304e-15
5,0206,2,32836,8.08551,1e-15,6894.76,7.301835312e-09,1.06116e-15
5,0206,3,34658,8.51708,1e-15,6894.76,9.957064408e-09,1.44704e-15
5,0206,4,34288,8.63494,1e-15,6894.76,1.146124875e-08,1.66564e-15
5,0207,1,31612,7.3533,1e-15,6894.76,7.047804683e-09,1.02424e-15
5,0207,2,32714,8.36633,1e-15,6894.76,7.333413717e-09,1.06575e-15
5,0207,3,34560,8.75072,1e-15,6894.76,9.864156708e-09,1.43354e-15
5,0207,4,34238,8.4017,1e-15,6894.76,1.146618274e-08,1.66635e-15
5,0208,1,31608,7.44929,1e-15,6894.76,7.055710936e-09,1.02539e-15
5,0208,2,32570,8.17105,1e-15,6894.76,7.349008883e-09,1.06801e-15
5,0208,3,34732,9.20379,1e-15,6894.76,nan,nan
5,0208,4,34276,9.1047,1e-15,6894.76,1.134548315e-08,1.64881e-15
5,0209,1,31710,7.72671,1e-15,6894.76,7.073408396e-09,1.02796e-15
5,0209,2,32594,7.96814,1e-15,6894.76,7.327266673e-09,1.06486e-15
5,0209,3,34560,8.89549,1e-15,6894.76,nan,nan
5,0210,1,31632,8.59267,1e-15,6894.76,7.065588249e-09,1.02683e-15
5,0210,2,32708,7.8376,1e-15,6894.76,7.344478375e-09,1.06736e-15
