aux_Image_filename,Image_file,Id1,Id2,Sample,Threshold,Slice,%Area,K(m2),Keq(m2),Delta P(Pa),Count,Total Area,Average Size,Perimeter,Knorm,Direction
am5_c1_final-1137.tif,am5_c1_final-1137,am5_c1_s1137,1137,5,1,1137,4.08545,1.00E-15,1.07E-15,6894.76,270,16734,61.97778,26.70218,1.07093,X
am5_c1_final-1138.tif,am5_c1_final-1138,am5_c1_s1138,1138,5,1,1138,4.00659,1.00E-15,1.07E-15,6894.76,263,16411,62.39924,26.8919,1.07165,X
am5_c1_final-1139.tif,am5_c1_final-1139,am5_c1_s1139,1139,5,1,1139,3.98193,1.00E-15,1.07E-15,6894.76,257,16310,63.46304,27.26519,1.07237,X
am5_c1_final-1140.tif,am5_c1_final-1140,am5_c1_s1140,1140,5,1,1140,3.89673,1.00E-15,1.07E-15,6894.76,271,15961,58.89668,25.8536,1.06749,X
am5_c1_final-1141.tif,am5_c1_final-1141,am5_c1_s1141,1141,5,1,1141,3.84009,1.00E-15,1.06E-15,6894.76,278,15729,56.57914,25.12799,1.06484,X
am5_c1_final-1142.tif,am5_c1_final-1142,am5_c1_s1142,1142,5,1,1142,3.90625,1.00E-15,1.06E-15,6894.76,276,16000,57.97101,25.51655,1.06361,X
am5_c1_final-1143.tif,am5_c1_final-1143,am5_c1_s1143,1143,5,1,1143,3.91455,1.00E-15,1.07E-15,6894.76,270,16034,59.38519,25.83031,1.06511,X
am5_c1_final-1144.tif,am5_c1_final-1144,am5_c1_s1144,1144,5,1,1144,3.89575,1.00E-15,1.06E-15,6894.76,275,15957,58.02545,25.36383,1.06453,X
am5_c1_final-1145.tif,am5_c1_final-1145,am5_c1_s1145,1145,5,1,1145,3.66528,1.00E-15,1.06E-15,6894.76,266,15013,56.43985,25.3599,1.05813,X
am5_c1_final-1146.tif,am5_c1_final-1146,am5_c1_s1146,1146,5,1,1146,3.52466,1.00E-15,1.06E-15,6894.76,276,14437,52.30797,23.99324,1.05548,X
am5_c1_final-1147.tif,am5_c1_final-1147,am5_c1_s1147,1147,5,1,1147,3.51489,1.00E-15,1.06E-15,6894.76,269,14397,53.52045,24.69562,1.05682,X
am5_c1_final-1148.tif,am5_c1_final-1148,am5_c1_s1148,1148,5,1,1148,3.52759,1.00E-15,1.06E-15,6894.76,285,14449,50.69825,23.72141,1.0556,X
am5_c1_final-1149.tif,am5_c1_final-1149,am5_c1_s1149,1149,5,1,1149,3.41699,1.00E-15,1.05E-15,6894.76,278,13996,50.34532,23.68981,1.05328,X
am5_c1_final-1150.tif,am5_c1_final-1150,am5_c1_s1150,1150,5,1,1150,3.22754,1.00E-15,1.05E-15,6894.76,256,13220,51.64062,24.25433,1.04973,X
am5_c1_final-1151.tif,am5_c1_final-1151,am5_c1_s1151,1151,5,1,1151,3.32202,1.00E-15,1.05E-15,6894.76,262,13607,51.93511,24.3914,1.05316,X
am5_c1_final-1152.tif,am5_c1_final-1152,am5_c1_s1152,1152,5,1,1152,3.39258,nan,nan,6894.76,270,13896,51.46667,24.33173,,X
am5_c1_final-1153.tif,am5_c1_final-1153,am5_c1_s1153,1153,5,1,1153,3.58936,nan,nan,6894.76,262,14702,56.1145,25.79773,,X
am5_c1_final-1154.tif,am5_c1_final-1154,am5_c1_s1154,1154,5,1,1154,3.51904,1.00E-15,1.06E-15,6894.76,269,14414,53.58364,24.69193,1.05834,X
am5_c1_final-1155.tif,am5_c1_final-1155,am5_c1_s1155,1155,5,1,1155,3.50317,nan,nan,6894.76,269,14349,53.34201,24.34556,,X
am5_c1_final-1156.tif,am5_c1_final-1156,am5_c1_s1156,1156,5,1,1156,3.58813,1.00E-15,1.06E-15,6894.76,271,14697,54.23247,24.37874,1.05757,X
am5_c1_final-1157.tif,am5_c1_final-1157,am5_c1_s1157,1157,5,1,1157,3.81665,1.00E-15,1.06E-15,6894.76,297,15633,52.63636,23.74667,1.06213,X
am5_c1_final-1158.tif,am5_c1_final-1158,am5_c1_s1158,1158,5,1,1158,3.79248,1.00E-15,1.06E-15,6894.76,277,15534,56.07942,24.85491,1.06416,X
